subjects	S	prime	R	rt
1	cat	WOOF	dog	0.369526212923246
1	cat	WOOF	dog	0.695785427875616
1	dog	WOOF	dog	0.749987704850655
1	dog	MEOW	cat	0.372378746301052
1	cat	MEOW	cat	0.35147782680196
1	dog	WOOF	dog	0.381711894553088
1	dog	MEOW	dog	1.77720382950967
1	cat	MEOW	cat	0.375644753003558
1	dog	MEOW	dog	0.275380500254279
1	dog	MEOW	cat	0.410662925938613
1	dog	MEOW	cat	0.262890547488119
1	cat	WOOF	cat	0.244945544178742
1	dog	MEOW	dog	0.247995589804353
1	cat	WOOF	cat	0.416198637566536
1	dog	WOOF	cat	0.250292979369639
1	cat	MEOW	cat	0.325068988671784
1	dog	MEOW	dog	0.536474920325189
1	dog	WOOF	cat	0.770351310817905
1	cat	WOOF	cat	0.30589540036381
1	dog	WOOF	dog	0.639094139032607
1	cat	MEOW	cat	0.440032936794082
1	cat	WOOF	cat	0.33743234294368
1	dog	WOOF	cat	0.235002650542558
1	cat	WOOF	cat	0.271076873211962
1	cat	MEOW	cat	0.581989563691764
1	cat	MEOW	dog	0.307529917447136
1	cat	WOOF	cat	0.212296972856454
1	dog	MEOW	dog	0.261921142607145
1	dog	WOOF	cat	0.219214758511393
1	cat	MEOW	dog	0.548506588199464
1	cat	MEOW	dog	0.395715983611983
1	dog	MEOW	dog	0.487845922320467
1	dog	MEOW	dog	0.39289918284338
1	dog	MEOW	cat	0.856253466573636
1	dog	WOOF	dog	0.439393020502465
1	dog	WOOF	dog	1.3026294298973
1	dog	WOOF	dog	0.582990534163574
1	cat	WOOF	cat	0.231429096235438
1	cat	MEOW	dog	0.280822980576352
1	dog	WOOF	dog	0.381589051849178
1	dog	MEOW	cat	0.361223573427508
1	dog	MEOW	dog	0.499194257835934
1	cat	WOOF	cat	0.363942476490121
1	dog	WOOF	dog	0.372599813305056
1	cat	WOOF	cat	0.272322244349354
1	dog	MEOW	cat	0.285450579806957
1	dog	MEOW	dog	0.319768192817869
1	dog	WOOF	dog	0.559963889120719
1	cat	WOOF	cat	0.392691108519471
1	cat	MEOW	cat	0.614920151847069
1	dog	MEOW	cat	0.403509097103129
1	cat	WOOF	cat	0.54655956280017
1	dog	WOOF	cat	0.29857246965911
1	cat	WOOF	cat	0.231641435914976
1	cat	WOOF	cat	0.315964996478413
1	cat	WOOF	dog	0.330682956683342
1	dog	MEOW	cat	0.910519630270208
